No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Energy_consumption,Avg_power
1,50,1277.73,195.69,250036.38,25.55,50.00,250036.38,1081.44,1241925575.29
1,50,852.00,192.08,163649.69,17.04,50.00,163649.69,1093.32,836653440.54
2,50,651.43,195.02,250036.38,13.03,25.00,125018.19,"1059.77,1103.98","620439429.23,621486146.06"
2,50,448.73,188.84,169396.96,8.97,25.00,84698.48,"1055.04,1125.49","425266119.51,443296857.56"
3,50,449.93,194.14,250036.38,9.00,16.67,83345.46,"1018.53,1058.67,1167.20","374095220.33,428064432.80,439765922.16"
3,50,310.57,185.58,171372.94,6.21,16.67,57124.31,"1181.27,1109.45,928.50","329502808.09,300283743.99,251810018.62"
4,50,334.93,194.89,250036.39,6.70,12.50,62509.10,"882.00,1174.85,1227.80,1037.96","250919533.96,318972329.55,369519895.28,302513816.51"
4,50,240.37,183.73,173188.72,4.81,12.50,43297.18,"862.49,1261.27,1049.26,1012.51","180011277.85,268081914.52,221131038.09,218549426.06"
5,50,276.63,195.45,250036.38,5.53,10.00,50007.28,"1017.94,717.42,1555.44,978.59,1168.35","252947256.66,171169567.60,350814948.90,217363300.64,249630501.50"
5,50,205.90,182.52,180742.93,4.12,10.00,36148.59,"1386.21,810.14,727.48,1031.79,1383.79","251263969.06,136492293.64,134482030.72,181079368.79,247794658.02"
6,50,235.43,193.15,250036.38000000003,4.71,8.33,41672.73,"841.27,762.82,980.99,1220.94,1328.35,1334.14","164728858.28,147078571.96,174724710.11,209366362.05,280985860.84,265041212.05"
6,50,180.20,176.39,185270.31,3.60,8.33,30878.38,"1061.92,1315.05,1316.72,1088.21,999.64,432.96","171743805.15,206765996.46,196361914.03,168846589.48,155374468.45,65801460.69"
7,50,201.70,194.11,250036.39,4.03,7.14,35719.48,"1405.20,681.92,1049.24,949.40,1315.24,1117.77,1071.88","241427993.38,116341668.06,176744366.06,150185537.81,198153885.40,164814604.51,194257520.07"
7,50,162.00,182.32,194815.12999999998,3.24,7.14,27830.73,"836.60,1074.88,1026.38,857.11,1267.11,1263.95,1034.28","119818017.27,156266189.79,132711347.25,115889303.37,166764434.13,176889787.92,146764379.67"
8,50,179.80,193.84,250036.38999999998,3.60,6.25,31254.55,"592.80,1144.72,1286.71,1218.70,1215.10,1211.84,1176.95,879.59","90271336.82,171260923.96,179419308.20,165877803.41,160648197.13,147711405.59,190100587.08,136636013.10"
8,50,150.87,178.29,201159.08000000002,3.02,6.25,25144.89,"576.59,829.09,1120.29,1045.08,570.13,1422.19,1398.09,1232.40","71318356.86,104341446.61,151642416.57,129579571.47,73837874.45,172199292.24,165212679.29,153802957.88"
9,50,169.37,194.24,250036.38000000003,3.39,5.56,27781.82,"1001.92,819.79,944.50,1119.65,1389.32,1273.90,667.70,1270.56,1247.79","122033782.16,97686578.16,106115095.71,170231584.30,152838639.70,181033922.97,90739898.33,168629170.50,152616903.48"
9,50,144.23,178.88,213104.01,2.88,5.56,23678.22,"922.81,821.56,852.50,733.70,1822.48,578.86,1223.93,1131.60,1225.58","108743541.78,106302005.21,101992822.98,88044252.14,200327540.37,61005920.64,141547238.48,126388080.40,147180245.61"
10,50,150.07,192.41,250036.38,3.00,5.00,25003.64,"1182.56,613.46,1114.22,875.18,1022.77,823.44,842.11,2108.86,1105.92,1345.78","159148767.71,79817657.22,139823713.50,107280076.35,120031813.35,93798488.95,91351910.38,210991235.40,110083224.29,129598688.15"
10,50,133.03,186.76,221861.79,2.66,5.00,22186.18,"1762.47,1406.27,1317.11,920.73,218.70,1196.80,756.15,1008.76,1063.05,838.94","188390912.38,158796494.14,135688815.46,105681511.43,22910610.60,114677636.53,85497825.04,102379280.07,111811466.80,100270156.75"
